nodeID,networkCanvasEgoUUID,networkCanvasUUID,Close,Drugs,Sex,Cords_x,Cords_y,Age,ContactFreq,RelStrength,Serious,Gender_Female,Gender_Male,Gender_Gender_non-conforming,Gender_Genderqueer,Gender_Non-binary,Gender_Agender,Gender_Dont_know,Gender_Not_listed,Hispanic_Hispanic_or_Latino,Hispanic_Not_Hispanic_or_Latino,Race_Black_African_American,Race_American_Indian_or_Alaskan_Native,Race_Asian,Race_White,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_Other,SexOrient_Bisexual,SexOrient_Heterosexual_Straight,SexOrient_Gay_Lesbian,SexOrient_Queer,SexOrient_Not_listed,SexOrient_Dont_want_to_answer,SexOrient_Dont_know,MarijuanaFreq,CocaineFreq,HeroinFreq,PainkillerFreq,PoppersFreq,PlaceMet_Bar_Club,PlaceMet_Online_Mobile_App,PlaceMet_School,PlaceMet_Work,PlaceMet_Somewhere_Else,AnalSex_Anal_sex,AnalSex_No_anal_sex,CondomCat_Condomless_anal_sex,CondomCat_No_condomless_anal_sex,name,FirstSex,LastSex,OngoingPartner
1,ef3aeefe-1af9-4fd4-9e75-318eb329778f,cbaa6f3b-1565-45f3-ac07-66726a08f110,true,true,true,0.295424,0.410747,80,Less_than_weekly,Very_close,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,Not_in_the_past_six_months,Daily,Less_than_weekly,Weekly,Weekly,true,false,false,false,false,true,false,false,true,Manuel Kub,2023-07-17,2023-07-17,true
2,ef3aeefe-1af9-4fd4-9e75-318eb329778f,22fb736d-569e-4855-aaa1-c286dffee502,true,true,true,0.072819,0.487585,40,Daily,Somewhat_close,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,Weekly,Not_in_the_past_6_months,Weekly,Not_in_hte_past_6_months,Weekly,true,false,false,false,false,true,false,true,false,Dr. Dewey Gleason,2023-07-16,2023-07-16,true
3,ef3aeefe-1af9-4fd4-9e75-318eb329778f,39211c1f-9d69-419b-b2cf-e4379743f4c9,true,false,true,0.86656,0.769378,27,Daily,Very_close,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,Daily,Daily,Daily,Weekly,Weekly,true,false,false,false,false,true,false,false,true,Velma Hamill,2023-07-16,2023-07-17,true
4,ef3aeefe-1af9-4fd4-9e75-318eb329778f,b5c07b96-273e-4b95-95a9-9a4aa426d4f0,false,false,true,0.940648,0.893049,71,Daily,Very_close,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,Less_Than_Weekly,Less_than_weekly,Less_than_weekly,Less_than_weekly,Daily,false,false,true,false,false,true,false,false,true,Ms. Elbert Marks,2023-07-17,2023-07-17,false
5,ef3aeefe-1af9-4fd4-9e75-318eb329778f,766c05e2-5414-426b-90a7-dd99d167cce4,true,false,false,0.076894,0.730129,81,Less_than_weekly,Somewhat_close,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,Daily,Weekly,Daily,Not_in_hte_past_6_months,Daily,true,false,false,false,false,false,true,false,true,Bruce Waelchi,2023-07-16,2023-07-17,true
6,ef3aeefe-1af9-4fd4-9e75-318eb329778f,d553d54b-de74-489d-a308-78a32ca6bfbb,true,true,false,0.567064,0.848246,37,Weekly,Somewhat_close,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,Not_in_the_past_six_months,Not_in_the_past_6_months,Less_than_weekly,Weekly,Weekly,false,false,false,false,true,true,false,true,false,Dr. Dan Huel,2023-07-17,2023-07-17,true
7,ef3aeefe-1af9-4fd4-9e75-318eb329778f,edf97fd0-5be7-4e87-bdfe-bfc98735c401,false,true,false,0.966294,0.20278,37,Weekly,Not_close_at_all,true,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,Weekly,Less_than_weekly,Weekly,Not_in_hte_past_6_months,Daily,false,false,false,true,false,false,true,true,false,Kara Franecki,2023-07-16,2023-07-17,false
8,ef3aeefe-1af9-4fd4-9e75-318eb329778f,3eb8ccc7-082a-4e10-b618-2aed6094adb9,true,false,false,0.605983,0.853601,27,Less_than_weekly,Very_close,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,Not_in_the_past_six_months,Less_than_weekly,Weekly,Not_in_hte_past_6_months,Daily,false,false,true,false,false,false,true,false,true,Rose Becker,2023-07-17,2023-07-17,true
9,ef3aeefe-1af9-4fd4-9e75-318eb329778f,ffc5c797-87ed-441d-942f-55ea618f6b1b,false,true,true,0.575585,0.508688,72,Weekly,Not_close_at_all,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,Less_Than_Weekly,Less_than_weekly,Weekly,Not_in_hte_past_6_months,Less_than_weekly,true,false,false,false,false,false,true,false,true,Marty Kessler IV,2023-07-16,2023-07-17,true
10,ef3aeefe-1af9-4fd4-9e75-318eb329778f,561b8971-009a-4033-842a-187ea1c0c72f,true,true,false,0.389272,0.431151,75,Daily,Somewhat_close,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,Weekly,Not_in_the_past_6_months,Not_in_the_past_6_months,Not_in_hte_past_6_months,Not_in_the_past_6_months,false,false,false,false,true,false,true,false,true,Camille Walker,2023-07-17,2023-07-16,false
