nodeID,networkCanvasEgoUUID,networkCanvasUUID,Close,Drugs,Sex,Cords_x,Cords_y,Age,ContactFreq,RelStrength,Serious,Gender_Female,Gender_Male,Gender_Gender_non-conforming,Gender_Genderqueer,Gender_Non-binary,Gender_Agender,Gender_Dont_know,Gender_Not_listed,Hispanic_Hispanic_or_Latino,Hispanic_Not_Hispanic_or_Latino,Race_Black_African_American,Race_American_Indian_or_Alaskan_Native,Race_Asian,Race_White,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_Other,SexOrient_Bisexual,SexOrient_Heterosexual_Straight,SexOrient_Gay_Lesbian,SexOrient_Queer,SexOrient_Not_listed,SexOrient_Dont_want_to_answer,SexOrient_Dont_know,MarijuanaFreq,CocaineFreq,HeroinFreq,PainkillerFreq,PoppersFreq,PlaceMet_Bar_Club,PlaceMet_Online_Mobile_App,PlaceMet_School,PlaceMet_Work,PlaceMet_Somewhere_Else,AnalSex_Anal_sex,AnalSex_No_anal_sex,CondomCat_Condomless_anal_sex,CondomCat_No_condomless_anal_sex,name,FirstSex,LastSex,OngoingPartner
1,2944b829-ef9d-446e-b592-6fbf57657743,a43625fa-e0b1-4302-8f9e-fd9b98c99e7f,false,true,false,0.079955,0.012688,65,Never,Somewhat_close,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,Less_Than_Weekly,Weekly,Daily,Daily,Less_than_weekly,false,false,true,false,false,true,false,false,true,Dana Nicolas,2023-07-17,2023-07-17,true
2,2944b829-ef9d-446e-b592-6fbf57657743,fb81fdba-2ba0-4915-873d-0d73ff0d430f,true,true,true,0.012112,0.23428,46,Weekly,Very_close,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,Weekly,Weekly,Weekly,Less_than_weekly,Less_than_weekly,false,false,true,false,false,false,true,true,false,Patricia Nader,2023-07-17,2023-07-16,false
3,2944b829-ef9d-446e-b592-6fbf57657743,7b854e0d-9701-4643-850a-aca0ebd9dbb8,false,false,true,0.331327,0.458518,68,Daily,Not_close_at_all,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,Less_Than_Weekly,Not_in_the_past_6_months,Weekly,Less_than_weekly,Not_in_the_past_6_months,false,false,false,false,true,true,false,false,true,Alyssa Rippin,2023-07-17,2023-07-17,true
4,2944b829-ef9d-446e-b592-6fbf57657743,e9b377f9-e0c9-491f-b58b-ab50cbefee96,false,false,true,0.713099,0.754412,97,Never,Very_close,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,Less_Than_Weekly,Weekly,Weekly,Daily,Daily,false,false,false,false,true,true,false,false,true,Amelia Bosco,2023-07-17,2023-07-16,false
5,2944b829-ef9d-446e-b592-6fbf57657743,cebc1c7a-42c4-445a-abe7-554f174f6872,true,false,true,0.578412,0.840017,74,Daily,Somewhat_close,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,Not_in_the_past_six_months,Weekly,Not_in_the_past_6_months,Less_than_weekly,Less_than_weekly,false,false,false,true,false,false,true,false,true,Clinton Wehner,2023-07-17,2023-07-17,true
6,2944b829-ef9d-446e-b592-6fbf57657743,c43bc504-e991-44b4-85bf-733729cf91e3,false,false,false,0.232306,0.127418,46,Never,Somewhat_close,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,Weekly,Weekly,Daily,Less_than_weekly,Not_in_the_past_6_months,false,false,false,false,true,true,false,true,false,Flora Kilback,2023-07-16,2023-07-17,false
7,2944b829-ef9d-446e-b592-6fbf57657743,f2ebfc47-84e7-418a-9407-d483e2c15368,true,true,false,0.141264,0.959025,27,Weekly,Very_close,true,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,Less_Than_Weekly,Weekly,Weekly,Weekly,Weekly,false,false,true,false,false,false,true,false,true,Elizabeth Emard,2023-07-16,2023-07-17,false
8,2944b829-ef9d-446e-b592-6fbf57657743,4bd811cd-f30a-4918-9196-56ac8c9ea4a8,false,true,false,0.418931,0.679839,89,Never,Very_close,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,Less_Than_Weekly,Not_in_the_past_6_months,Not_in_the_past_6_months,Less_than_weekly,Not_in_the_past_6_months,false,false,false,false,true,false,true,false,true,Juan Wilkinson IV,2023-07-17,2023-07-17,false
9,2944b829-ef9d-446e-b592-6fbf57657743,7fc951ce-c4b2-4b5e-b42b-bc06e5ada6a7,true,true,true,0.80899,0.782584,45,Never,Very_close,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,Weekly,Daily,Less_than_weekly,Less_than_weekly,Not_in_the_past_6_months,false,false,false,true,false,false,true,true,false,Lucille Bosco,2023-07-17,2023-07-17,true
10,2944b829-ef9d-446e-b592-6fbf57657743,81b9058e-2aef-4997-a56f-d17eedb6834e,false,true,false,0.696293,0.163483,65,Weekly,Somewhat_close,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,Not_in_the_past_six_months,Less_than_weekly,Daily,Weekly,Daily,false,true,false,false,false,false,true,false,true,Alice Glover DDS,2023-07-17,2023-07-16,false
